code_dantai,code_region,code_pref,code_muni,name_pref,name_muni,name_muni_kana
10006,81,1,0,北海道,,
11002,81,1,100,北海道,札幌市,ｻｯﾎﾟﾛｼ
12025,81,1,202,北海道,函館市,ﾊｺﾀﾞﾃｼ
12033,81,1,203,北海道,小樽市,ｵﾀﾙｼ
12041,81,1,204,北海道,旭川市,ｱｻﾋｶﾜｼ
12050,81,1,205,北海道,室蘭市,ﾑﾛﾗﾝｼ
12068,81,1,206,北海道,釧路市,ｸｼﾛｼ
12076,81,1,207,北海道,帯広市,ｵﾋﾞﾋﾛｼ
12084,81,1,208,北海道,北見市,ｷﾀﾐｼ
12092,81,1,209,北海道,夕張市,ﾕｳﾊﾞﾘｼ
12106,81,1,210,北海道,岩見沢市,ｲﾜﾐｻﾞﾜｼ
12114,81,1,211,北海道,網走市,ｱﾊﾞｼﾘｼ
12122,81,1,212,北海道,留萌市,ﾙﾓｲｼ
12131,81,1,213,北海道,苫小牧市,ﾄﾏｺﾏｲｼ
12149,81,1,214,北海道,稚内市,ﾜｯｶﾅｲｼ
12157,81,1,215,北海道,美唄市,ﾋﾞﾊﾞｲｼ
12165,81,1,216,北海道,芦別市,ｱｼﾍﾞﾂｼ
12173,81,1,217,北海道,江別市,ｴﾍﾞﾂｼ
12181,81,1,218,北海道,赤平市,ｱｶﾋﾞﾗｼ
12190,81,1,219,北海道,紋別市,ﾓﾝﾍﾞﾂｼ
12203,81,1,220,北海道,士別市,ｼﾍﾞﾂｼ
12211,81,1,221,北海道,名寄市,ﾅﾖﾛｼ
12220,81,1,222,北海道,三笠市,ﾐｶｻｼ
12238,81,1,223,北海道,根室市,ﾈﾑﾛｼ
12246,81,1,224,北海道,千歳市,ﾁﾄｾｼ
12254,81,1,225,北海道,滝川市,ﾀｷｶﾜｼ
12262,81,1,226,北海道,砂川市,ｽﾅｶﾞﾜｼ
12271,81,1,227,北海道,歌志内市,ｳﾀｼﾅｲｼ
12289,81,1,228,北海道,深川市,ﾌｶｶﾞﾜｼ
12297,81,1,229,北海道,富良野市,ﾌﾗﾉｼ
12301,81,1,230,北海道,登別市,ﾉﾎﾞﾘﾍﾞﾂｼ
12319,81,1,231,北海道,恵庭市,ｴﾆﾜｼ
12335,81,1,233,北海道,伊達市,ﾀﾞﾃｼ
12343,81,1,234,北海道,北広島市,ｷﾀﾋﾛｼﾏｼ
12351,81,1,235,北海道,石狩市,ｲｼｶﾘｼ
12360,81,1,236,北海道,北斗市,ﾎｸﾄｼ
13030,81,1,303,北海道,当別町,ﾄｳﾍﾞﾂﾁｮｳ
13048,81,1,304,北海道,新篠津村,ｼﾝｼﾉﾂﾑﾗ
13315,81,1,331,北海道,松前町,ﾏﾂﾏｴﾁｮｳ
13323,81,1,332,北海道,福島町,ﾌｸｼﾏﾁｮｳ
13331,81,1,333,北海道,知内町,ｼﾘｳﾁﾁｮｳ
13340,81,1,334,北海道,木古内町,ｷｺﾅｲﾁｮｳ
13374,81,1,337,北海道,七飯町,ﾅﾅｴﾁｮｳ
13439,81,1,343,北海道,鹿部町,ｼｶﾍﾞﾁｮｳ
13455,81,1,345,北海道,森町,ﾓﾘﾏﾁ
13463,81,1,346,北海道,八雲町,ﾔｸﾓﾁｮｳ
13471,81,1,347,北海道,長万部町,ｵｼｬﾏﾝﾍﾞﾁｮｳ
13617,81,1,361,北海道,江差町,ｴｻｼﾁｮｳ
13625,81,1,362,北海道,上ノ国町,ｶﾐﾉｸﾆﾁｮｳ
13633,81,1,363,北海道,厚沢部町,ｱｯｻﾌﾞﾁｮｳ
13641,81,1,364,北海道,乙部町,ｵﾄﾍﾞﾁｮｳ
13676,81,1,367,北海道,奥尻町,ｵｸｼﾘﾁｮｳ
13706,81,1,370,北海道,今金町,ｲﾏｶﾈﾁｮｳ
13714,81,1,371,北海道,せたな町,ｾﾀﾅﾁｮｳ
13919,81,1,391,北海道,島牧村,ｼﾏﾏｷﾑﾗ
13927,81,1,392,北海道,寿都町,ｽｯﾂﾁｮｳ
13935,81,1,393,北海道,黒松内町,ｸﾛﾏﾂﾅｲﾁｮｳ
13943,81,1,394,北海道,蘭越町,ﾗﾝｺｼﾁｮｳ
13951,81,1,395,北海道,ニセコ町,ﾆｾｺﾁｮｳ
13960,81,1,396,北海道,真狩村,ﾏｯｶﾘﾑﾗ
13978,81,1,397,北海道,留寿都村,ﾙｽﾂﾑﾗ
13986,81,1,398,北海道,喜茂別町,ｷﾓﾍﾞﾂﾁｮｳ
13994,81,1,399,北海道,京極町,ｷｮｳｺﾞｸﾁｮｳ
14001,81,1,400,北海道,倶知安町,ｸｯﾁｬﾝﾁｮｳ
14010,81,1,401,北海道,共和町,ｷｮｳﾜﾁｮｳ
14028,81,1,402,北海道,岩内町,ｲﾜﾅｲﾁｮｳ
14036,81,1,403,北海道,泊村,ﾄﾏﾘﾑﾗ
14044,81,1,404,北海道,神恵内村,ｶﾓｴﾅｲﾑﾗ
14052,81,1,405,北海道,積丹町,ｼｬｺﾀﾝﾁｮｳ
14061,81,1,406,北海道,古平町,ﾌﾙﾋﾞﾗﾁｮｳ
14079,81,1,407,北海道,仁木町,ﾆｷﾁｮｳ
14087,81,1,408,北海道,余市町,ﾖｲﾁﾁｮｳ
14095,81,1,409,北海道,赤井川村,ｱｶｲｶﾞﾜﾑﾗ
14231,81,1,423,北海道,南幌町,ﾅﾝﾎﾟﾛﾁｮｳ
14249,81,1,424,北海道,奈井江町,ﾅｲｴﾁｮｳ
14257,81,1,425,北海道,上砂川町,ｶﾐｽﾅｶﾞﾜﾁｮｳ
14273,81,1,427,北海道,由仁町,ﾕﾆﾁｮｳ
14281,81,1,428,北海道,長沼町,ﾅｶﾞﾇﾏﾁｮｳ
14290,81,1,429,北海道,栗山町,ｸﾘﾔﾏﾁｮｳ
14303,81,1,430,北海道,月形町,ﾂｷｶﾞﾀﾁｮｳ
14311,81,1,431,北海道,浦臼町,ｳﾗｳｽﾁｮｳ
14320,81,1,432,北海道,新十津川町,ｼﾝﾄﾂｶﾜﾁｮｳ
14338,81,1,433,北海道,妹背牛町,ﾓｾｳｼﾁｮｳ
14346,81,1,434,北海道,秩父別町,ﾁｯﾌﾟﾍﾞﾂﾁｮｳ
14362,81,1,436,北海道,雨竜町,ｳﾘｭｳﾁｮｳ
14371,81,1,437,北海道,北竜町,ﾎｸﾘｭｳﾁｮｳ
14389,81,1,438,北海道,沼田町,ﾇﾏﾀﾁｮｳ
14524,81,1,452,北海道,鷹栖町,ﾀｶｽﾁｮｳ
14532,81,1,453,北海道,東神楽町,ﾋｶﾞｼｶｸﾞﾗﾁｮｳ
