year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette
2022,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-22/L01-22_code_pref_GML.zip,L01-22_code_pref_GML.zip,L01-22_code_pref.shp,L01-22_code_pref.geojson,L01-22_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-v3_1.html,L01_006,,,
2021,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-21/L01-21_code_pref_GML.zip,L01-21_code_pref_GML.zip,L01-21_code_pref.shp,L01_21_code_pref.geojson,L01-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-v3_0.html,L01_006,,,
2020,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-20/L01-20_code_pref_GML.zip,L01-20_code_pref_GML.zip,L01-20_code_pref.shp,L01-20_code_pref.geojson,L01-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-v2_5.html,L01_006,,,
2019,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-19/L01-19_code_pref_GML.zip,L01-19_code_pref_GML.zip,L01-19_code_pref.shp,L01_19_code_pref.geojson,L01-19_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-v2_5.html,L01_006,,,
2018,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-18/L01-18_code_pref_GML.zip,L01-18_code_pref_GML.zip,L01-18_code_pref.shp,L01-18_code_pref.geojson,L01-18_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-v2_4.html,L01_006,,,
2017,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-17/L01-17_code_pref_GML.zip,L01-17_code_pref_GML.zip,L01-17_code_pref.shp,,L01-17_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-v2_3.html,L01_006,,,
2016,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-16/L01-16_code_pref_GML.zip,L01-16_code_pref_GML.zip,L01-16_code_pref.shp,,L01-16_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-v2_3.html,L01_006,,,
2015,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-15/L01-15_code_pref_GML.zip,L01-15_code_pref_GML.zip,L01-15_code_pref.shp,,L01-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-v2_3.html,L01_006,,,
2014,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-14/L01-14_code_pref_GML.zip,L01-14_code_pref_GML.zip,L01-14_code_pref.shp,,L01-14_code_pref/SHAPE,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-v2_2.html,L01_006,,,
2013,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-13/L01-13_code_pref_GML.zip,L01-13_code_pref_GML.zip,L01-13_code_pref.shp,,L01-13_code_pref_GML/SHAPE,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-v2_1.html,L01_006,,,
