year,url,zip,shp,geojson,altdir,source
2022,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-22/L02-22_code_pref_GML.zip,L02-22_code_pref_GML.zip,L02-22_code_pref.shp,L02-22_code_pref.geojson,L02-22_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v3_0.html
2021,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-21/L02-21_code_pref_GML.zip,L02-21_code_pref_GML.zip,L02_21_code_pref.shp,L02_21_code_pref.geojson,L02-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v3_0.html
2020,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-20/L02-20_code_pref_GML.zip,L02-20_code_pref_GML.zip,L02-20_code_pref.shp,L02-20_code_pref.geojson,L02-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_7.html
2019,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-19/L02-19_code_pref_GML.zip,L02-19_code_pref_GML.zip,L02_19_code_pref.shp,L02_19_code_pref.geojson,L02-19_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_6.html
2018,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-18/L02-18_code_pref_GML.zip,L02-18_code_pref_GML.zip,L02-18_code_pref.shp,L02-18_code_pref.geojson,L02-18_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_5.html
2017,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-17/L02-17_code_pref_GML.zip,L02-17_code_pref_GML.zip,L02-17_code_pref.shp,,L02-17_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_4.html
2016,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-16/L02-16_code_pref_GML.zip,L02-16_code_pref_GML.zip,L02-16_code_pref.shp,,L02-16_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_3.html
2015,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-15/L02-15_code_pref_GML.zip,L02-15_code_pref_GML.zip,L02-15_code_pref.shp,,L02-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_3.html
2014,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-14/L02-14_code_pref.zip,L02-14_code_pref.zip,L02-14_code_pref.shp,,L02-14_code_pref/SHAPE,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_3.html
2013,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-13/L02-13_code_pref_GML.zip,L02-13_code_pref_GML.zip,L02-13_code_pref.shp,,L02-13_code_pref_GML/SHAPE,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_2.html
2012,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-12/L02-12_code_pref_GML.zip,L02-12_code_pref_GML.zip,L02-12_code_pref.shp,,L02-12_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_1.html
2011,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-11/L02-11_code_pref_GML.zip,L02-11_code_pref_GML.zip,L02-11_code_pref-g_PrefectureLandPriceResearch.shp,,L02-11_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_1.html
2010,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-10/L02-10_code_pref_GML.zip,L02-10_code_pref_GML.zip,L02-10_code_pref-g_PrefectureLandPriceResearch.shp,,L02-10_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_1.html
2009,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-09/L02-09_code_pref_GML.zip,L02-09_code_pref_GML.zip,L02-09_code_pref-g_PrefectureLandPriceResearch.shp,,L02-09_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_1.html
2008,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-08/L02-08_code_pref_GML.zip,L02-08_code_pref_GML.zip,L02-08_code_pref-g_PrefectureLandPriceResearch.shp,,L02-08_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_1.html
2007,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-07/L02-07_code_pref_GML.zip,L02-07_code_pref_GML.zip,L02-07_code_pref-g_PrefectureLandPriceResearch.shp,,L02-07_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v2_1.html
2006,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-06/L02-06_code_pref_GML.zip,L02-06_code_pref_GML.zip,L02-06_code_pref-g_PrefectureLandPriceResearch.shp,,L02-06_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
2005,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-05/L02-05_code_pref_GML.zip,L02-05_code_pref_GML.zip,L02-05_code_pref-g_PrefectureLandPriceResearch.shp,,L02-05_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
2004,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-04/L02-04_code_pref_GML.zip,L02-04_code_pref_GML.zip,L02-04_code_pref-g_PrefectureLandPriceResearch.shp,,L02-04_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
2003,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-03/L02-03_code_pref_GML.zip,L02-03_code_pref_GML.zip,L02-03_code_pref-g_PrefectureLandPriceResearch.shp,,L02-03_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
2002,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-02/L02-02_code_pref_GML.zip,L02-02_code_pref_GML.zip,L02-02_code_pref-g_PrefectureLandPriceResearch.shp,,L02-02_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
2001,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-01/L02-01_code_pref_GML.zip,L02-01_code_pref_GML.zip,L02-01_code_pref-g_PrefectureLandPriceResearch.shp,,L02-01_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
2000,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-00/L02-00_code_pref_GML.zip,L02-00_code_pref_GML.zip,L02-00_code_pref-g_PrefectureLandPriceResearch.shp,,L02-00_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1999,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-99/L02-99_code_pref_GML.zip,L02-99_code_pref_GML.zip,L02-99_code_pref-g_PrefectureLandPriceResearch.shp,,L02-99_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1998,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-98/L02-98_code_pref_GML.zip,L02-98_code_pref_GML.zip,L02-98_code_pref-g_PrefectureLandPriceResearch.shp,,L02-98_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1997,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-97/L02-97_code_pref_GML.zip,L02-97_code_pref_GML.zip,L02-97_code_pref-g_PrefectureLandPriceResearch.shp,,L02-97_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1996,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-96/L02-96_code_pref_GML.zip,L02-96_code_pref_GML.zip,L02-96_code_pref-g_PrefectureLandPriceResearch.shp,,L02-96_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1995,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-95/L02-95_code_pref_GML.zip,L02-95_code_pref_GML.zip,L02-95_code_pref-g_PrefectureLandPriceResearch.shp,,L02-95_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1994,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-94/L02-94_code_pref_GML.zip,L02-94_code_pref_GML.zip,L02-94_code_pref-g_PrefectureLandPriceResearch.shp,,L02-94_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1993,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-93/L02-93_code_pref_GML.zip,L02-93_code_pref_GML.zip,L02-93_code_pref-g_PrefectureLandPriceResearch.shp,,L02-93_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1992,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-92/L02-92_code_pref_GML.zip,L02-92_code_pref_GML.zip,L02-92_code_pref-g_PrefectureLandPriceResearch.shp,,L02-92_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1991,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-91/L02-91_code_pref_GML.zip,L02-91_code_pref_GML.zip,L02-91_code_pref-g_PrefectureLandPriceResearch.shp,,L02-91_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1990,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-90/L02-90_code_pref_GML.zip,L02-90_code_pref_GML.zip,L02-90_code_pref-g_PrefectureLandPriceResearch.shp,,L02-90_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1989,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-89/L02-89_code_pref_GML.zip,L02-89_code_pref_GML.zip,L02-89_code_pref-g_PrefectureLandPriceResearch.shp,,L02-89_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1988,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-88/L02-88_code_pref_GML.zip,L02-88_code_pref_GML.zip,L02-88_code_pref-g_PrefectureLandPriceResearch.shp,,L02-88_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1987,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-87/L02-87_code_pref_GML.zip,L02-87_code_pref_GML.zip,L02-87_code_pref-g_PrefectureLandPriceResearch.shp,,L02-87_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1986,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-86/L02-86_code_pref_GML.zip,L02-86_code_pref_GML.zip,L02-86_code_pref-g_PrefectureLandPriceResearch.shp,,L02-86_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1985,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-85/L02-85_code_pref_GML.zip,L02-85_code_pref_GML.zip,L02-85_code_pref-g_PrefectureLandPriceResearch.shp,,L02-85_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1984,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-84/L02-84_code_pref_GML.zip,L02-84_code_pref_GML.zip,L02-84_code_pref-g_PrefectureLandPriceResearch.shp,,L02-84_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
1983,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-83/L02-83_code_pref_GML.zip,L02-83_code_pref_GML.zip,L02-83_code_pref-g_PrefectureLandPriceResearch.shp,,L02-84_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v1_0.html
