year,url,zip,shp,geojson,altdir,source
2023,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2023/N03-20230101_code_pref_GML.zip,N03-20230101_code_pref_GML.zip,N03-23_code_pref_230101.shp,N03-23_code_pref_230101.geojson,N03-20230101_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v3_1.html
2022,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2022/N03-20220101_code_pref_GML.zip,N03-20220101_code_pref_GML.zip,N03-22_code_pref_220101.shp,N03-22_code_pref_220101.geojson,N03-20220101_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v3_1.html
2021,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2021/N03-20210101_code_pref_GML.zip,N03-20210101_code_pref_GML.zip,*N03-21_code_pref_210101.shp,N03-20210101_code_pref_GML\N03-21_code_pref_210101.geojson,N03-20210101_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v3_0.html
2020,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2020/N03-20200101_code_pref_GML.zip,N03-20200101_code_pref_GML.zip,*N03-20_code_pref_200101.shp,N03-200101_code_pref_GML\N03-20_code_pref_200101.geojson,N03-20200101_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_4.html
2019,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2019/N03-190101_code_pref_GML.zip,N03-190101_code_pref_GML.zip,N03-19_code_pref_190101.shp,,N03-190101_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_3.html
2018,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2018/N03-180101_code_pref_GML.zip,N03-180101_code_pref_GML.zip,N03-18_code_pref_180101.shp,,N03-180101_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_3.html
2017,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2017/N03-170101_code_pref_GML.zip,N03-170101_code_pref_GML.zip,N03-17_code_pref_170101.shp,,N03-170101_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_3.html
2016,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2016/N03-160101_code_pref_GML.zip,N03-160101_code_pref_GML.zip,N03-16_code_pref_160101.shp,,N03-160101_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_3.html
2015,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2015/N03-150101_code_pref_GML.zip,N03-150101_code_pref_GML.zip,N03-15_code_pref_150101.shp,,N03-20150101_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
2014,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2014/N03-140401_code_pref_GML.zip,N03-140401_code_pref_GML.zip,N03-14_code_pref_140401.shp,,N03-140401_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
2013,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2013/N03-130401_code_pref_GML.zip,N03-130401_code_pref_GML.zip,N03-13_code_pref_130401.shp,,N03-130401_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
2012,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2012/N03-120401_code_pref_GML.zip,N03-120401_code_pref_GML.zip,N03-12_code_pref_120401.shp,,N03-120401_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
2011,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2011/N03-120331_code_pref_GML.zip,N03-120331_code_pref_GML.zip,N03-12_code_pref_120331.shp,,N03-120331_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
2010,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2010/N03-110331_code_pref_GML.zip,N03-110331_code_pref_GML.zip,N03-11_code_pref_110331.shp,,N03-110331_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
2009,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2009/N03-100329_code_pref_GML.zip,N03-100329_code_pref_GML.zip,N03-100329_code_pref-g_AdministrativeBoundary.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
2000,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2000/N03-001001_code_pref_GML.zip,N03-001001_code_pref_GML.zip,N03-001001_code_pref-g_AdministrativeBoundary.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
1995,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-1995/N03-951001_code_pref_GML.zip,N03-951001_code_pref_GML.zip,N03-951001_code_pref-g_AdministrativeBoundary.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
1985,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-1985/N03-851001_code_pref_GML.zip,N03-851001_code_pref_GML.zip,N03-851001_code_pref-g_AdministrativeBoundary.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
1980,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-1980/N03-801001_code_pref_GML.zip,N03-801001_code_pref_GML.zip,N03-801001_code_pref-g_AdministrativeBoundary.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
1975,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-1975/N03-751001_code_pref_GML.zip,N03-751001_code_pref_GML.zip,N03-751001_code_pref-g_AdministrativeBoundary.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
1970,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-1970/N03-701001_code_pref_GML.zip,N03-701001_code_pref_GML.zip,N03-701001_code_pref-g_AdministrativeBoundary.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
1965,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-1965/N03-651001_code_pref_GML.zip,N03-651001_code_pref_GML.zip,N03-651001_code_pref-g_AdministrativeBoundary.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
1960,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-1960/N03-601001_code_pref_GML.zip,N03-601001_code_pref_GML.zip,N03-601001_code_pref-g_AdministrativeBoundary.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
1955,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-1955/N03-551001_code_pref_GML.zip,N03-551001_code_pref_GML.zip,N03-551001_code_pref-g_AdministrativeBoundary.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
1950,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-1950/N03-501001_code_pref_GML.zip,N03-501001_code_pref_GML.zip,N03-501001_code_pref-g_AdministrativeBoundary.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
1920,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-1920/N03-200101_code_pref_GML.zip,N03-201001_code_pref_GML.zip,N03-200101_code_pref-g_AdministrativeBoundary.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-v2_2.html
